⑮の2 工房の制作項目(枝分かれ比べ・中央値≥1.05)
  OK 料理:butterCookie          S9 中央値比=5.425 (n=10)
  OK 装備lift:accA_t3_v3           min比=3123597023291.422 (n=2, S3)
  OK 装備lift:accA_t3_v5           min比=364179428765.851 (n=1, S6)
  OK 装備lift:accA_t3_v6           min比=31.478 (n=1, S7)
  OK 装備lift:accA_t3_v7           min比=69.981 (n=1, S8)
  OK 装備lift:accA_t3_v9           min比=39173186410671.836 (n=1, S1)
  OK 装備lift:accB_t3_v1           min比=68.905 (n=1, S9)
  OK 装備lift:accB_t3_v2           min比=6445149.338 (n=3, S8)
  OK 装備lift:accB_t3_v6           min比=4.140 (n=5, S7)
  OK 装備lift:weapon_t4_v1         min比=2.263 (n=4, S9)
  OK 装備lift:weapon_t4_v3         min比=2.345247462840097e+22 (n=1, S2)
  OK 装備lift:weapon_t4_v6         min比=334913234.006 (n=4, S5)
  OK 装備lift:shield_t4_v1         min比=4.633 (n=4, S8)
  OK 装備lift:shield_t4_v6         min比=9.215 (n=3, S9)
  OK 装備lift:armorTop_t4_v1       min比=4.023 (n=5, S7)
  OK 装備lift:armorTop_t4_v2       min比=379.673 (n=1, S8)
  OK 装備lift:armorTop_t4_v5       min比=3985.732 (n=1, S1)
  OK 装備lift:armorTop_t4_v6       min比=9.215 (n=1, S9)
  OK 装備lift:armorTop_t4_v9       min比=46097763718961.727 (n=1, S6)
  OK 装備lift:armorBottom_t4_v1    min比=59.890 (n=3, S9)
  OK 装備lift:armorBottom_t4_v2    min比=31.478 (n=1, S7)
  OK 装備lift:armorBottom_t4_v3    min比=69.981 (n=1, S8)
  OK 装備lift:armorBottom_t4_v4    min比=1.3835805135636583e+24 (n=1, S5)
  OK 装備lift:armorBottom_t4_v6    min比=325744638.896 (n=1, S4)
  OK 装備lift:hands_t4_v1          min比=59.890 (n=3, S9)
  OK 装備lift:hands_t4_v2          min比=181642323159224.469 (n=1, S6)
  OK 装備lift:hands_t4_v3          min比=8.846 (n=2, S7)
  OK 装備lift:hands_t4_v5          min比=325744638.896 (n=1, S4)
  OK 装備lift:hands_t4_v6          min比=12229088985450.646 (n=1, S1)
  OK 装備lift:hands_t4_v7          min比=15888650403175.430 (n=1, S2)
  OK 装備lift:hat_t4_v1            min比=4.140 (n=3, S7)
  OK 装備lift:hat_t4_v2            min比=3985.732 (n=1, S1)
  OK 装備lift:hat_t4_v3            min比=181642323159224.469 (n=1, S6)
  OK 装備lift:hat_t4_v5            min比=68212075257889865728.000 (n=1, S8)
  OK 装備lift:hat_t4_v6            min比=59.890 (n=1, S9)
  OK 装備lift:shoes_t4_v1          min比=68.905 (n=3, S9)
  NG 装備lift:shoes_t4_v3          min比=1.042 (n=2, S5)
  OK 装備lift:shoes_t4_v5          min比=4.023 (n=1, S7)
  OK 装備lift:shoes_t4_v6          min比=69.981 (n=1, S8)
  OK 装備lift:shoes_t4_v9          min比=15888650403175.430 (n=1, S2)
  OK 装備lift:accA_t4_v1           min比=68.905 (n=3, S9)
  OK 装備lift:accA_t4_v3           min比=1.1019963595404607e+21 (n=1, S2)
  OK 装備lift:accA_t4_v5           min比=4.633 (n=1, S6)
  OK 装備lift:accA_t4_v6           min比=8.846 (n=1, S7)
  OK 装備lift:accA_t4_v7           min比=379.673 (n=1, S8)
  OK 装備lift:accA_t4_v9           min比=3985.732 (n=1, S1)
  OK 装備lift:accB_t4_v1           min比=55.195 (n=1, S9)
  OK 装備lift:accB_t4_v2           min比=68212075257889865728.000 (n=2, S8)
  OK 装備lift:accB_t4_v6           min比=8.846 (n=6, S7)
  OK 装備lift:weapon_t5_v1         min比=4.023 (n=4, S9)
  OK 装備lift:weapon_t5_v3         min比=1.221773144188882e+24 (n=1, S2)
  NG 装備lift:weapon_t5_v6         min比=1.042 (n=3, S5)
  OK 装備lift:shield_t5_v1         min比=4.140 (n=4, S8)
  OK 装備lift:shield_t5_v6         min比=55.195 (n=2, S9)
  OK 装備lift:armorTop_t5_v1       min比=4.140 (n=4, S7)
  OK 装備lift:armorTop_t5_v2       min比=3.5498511620749166e+27 (n=1, S8)
  OK 装備lift:armorTop_t5_v5       min比=345.068 (n=1, S1)
  OK 装備lift:armorTop_t5_v6       min比=55.195 (n=1, S9)
  OK 装備lift:armorTop_t5_v9       min比=7.020 (n=1, S6)
  OK 装備lift:armorBottom_t5_v1    min比=68.905 (n=3, S9)
  OK 装備lift:armorBottom_t5_v2    min比=8.846 (n=1, S7)
  OK 装備lift:armorBottom_t5_v3    min比=379.673 (n=1, S8)
  OK 装備lift:armorBottom_t5_v4    min比=16707533128.402 (n=1, S5)
  OK 装備lift:armorBottom_t5_v6    min比=7.995431598421643e+22 (n=1, S4)
  OK 装備lift:hands_t5_v1          min比=68.905 (n=3, S9)
  OK 装備lift:hands_t5_v2          min比=1667337072455578.500 (n=1, S6)
  OK 装備lift:hands_t5_v3          min比=14.054 (n=1, S7)
  OK 装備lift:hands_t5_v5          min比=7.995431598421643e+22 (n=1, S4)
  OK 装備lift:hands_t5_v6          min比=21.091 (n=1, S1)
  OK 装備lift:hat_t5_v1            min比=8.846 (n=3, S7)
  OK 装備lift:hat_t5_v2            min比=345.068 (n=1, S1)
  OK 装備lift:hat_t5_v3            min比=1667337072455578.500 (n=1, S6)
  OK 装備lift:hat_t5_v5            min比=506308195.306 (n=1, S8)
  OK 装備lift:hat_t5_v6            min比=68.905 (n=1, S9)
  OK 装備lift:shoes_t5_v1          min比=55.195 (n=2, S9)
  OK 装備lift:shoes_t5_v3          min比=7.547 (n=2, S5)
  OK 装備lift:shoes_t5_v5          min比=31.478 (n=1, S7)
  OK 装備lift:shoes_t5_v6          min比=379.673 (n=1, S8)
  OK 装備lift:accA_t5_v1           min比=55.195 (n=3, S9)
  OK 装備lift:accA_t5_v3           min比=15888650403175.430 (n=1, S2)
  OK 装備lift:accA_t5_v5           min比=181642323159224.469 (n=1, S6)
  OK 装備lift:accA_t5_v6           min比=14.054 (n=1, S7)
  OK 装備lift:accA_t5_v7           min比=3.5498511620749166e+27 (n=1, S8)
  OK 装備lift:accA_t5_v9           min比=241447374040054.750 (n=1, S1)
  OK 装備lift:accB_t5_v1           min比=142.289 (n=1, S9)
  OK 装備lift:accB_t5_v2           min比=506308195.306 (n=2, S8)
  NG 装備lift:accB_t5_v6           min比=1.042 (n=5, S7)
  OK 装備lift:weapon_t6_v1         min比=31.478 (n=4, S9)
  OK 装備lift:weapon_t6_v6         min比=345.068 (n=3, S5)
  OK 装備lift:shield_t6_v1         min比=334913234.006 (n=4, S8)
  OK 装備lift:shield_t6_v6         min比=142.289 (n=1, S9)
  OK 装備lift:armorTop_t6_v1       min比=8.846 (n=3, S7)
  OK 装備lift:armorTop_t6_v6       min比=142.289 (n=1, S9)
  OK 装備lift:armorTop_t6_v9       min比=181642323159224.469 (n=1, S6)
  OK 装備lift:armorBottom_t6_v1    min比=55.195 (n=2, S9)
  OK 装備lift:armorBottom_t6_v3    min比=3.5498511620749166e+27 (n=1, S8)
  OK 装備lift:hands_t6_v1          min比=55.195 (n=2, S9)
  OK 装備lift:hands_t6_v3          min比=169400.262 (n=1, S7)
  OK 装備lift:hands_t6_v6          min比=39173186410671.836 (n=1, S1)
  OK 装備lift:hat_t6_v1            min比=325744638.896 (n=2, S5)
  OK 装備lift:hat_t6_v3            min比=276064025116814639104.000 (n=1, S6)
  OK 装備lift:hat_t6_v5            min比=379.673 (n=1, S8)
  OK 装備lift:hat_t6_v6            min比=9.215 (n=1, S9)
  OK 装備lift:shoes_t6_v1          min比=142.289 (n=1, S9)
  OK 装備lift:shoes_t6_v3          min比=55.594 (n=2, S5)
  OK 装備lift:shoes_t6_v5          min比=8.846 (n=1, S7)
  OK 装備lift:shoes_t6_v6          min比=3.5498511620749166e+27 (n=1, S8)
  OK 装備lift:accA_t6_v1           min比=142.289 (n=2, S9)
  OK 装備lift:accA_t6_v3           min比=1.936054918725221e+30 (n=1, S2)
  OK 装備lift:accA_t6_v5           min比=1667337072455578.500 (n=1, S6)
  OK 装備lift:accA_t6_v9           min比=345.068 (n=1, S1)
  OK 装備lift:accB_t6_v1           min比=1.672 (n=1, S9)
  OK 装備lift:accB_t6_v2           min比=379.673 (n=1, S8)
  OK 装備lift:accB_t6_v6           min比=345.068 (n=3, S5)
新装備(a) 合計 228/253(装備された装備のみ判定対象)
新装備(b) カバレッジ: 253/486 装備済み 未装備: weapon_t1_v7,weapon_t1_v8,weapon_t1_v9,shield_t1_v6,shield_t1_v7,shield_t1_v8,armorTop_t1_v5,armorTop_t1_v6,armorTop_t1_v7,armorTop_t1_v8,armorBottom_t1_v4,armorBottom_t1_v5,armorBottom_t1_v6,hands_t1_v4,hands_t1_v5,hands_t1_v6,hands_t1_v7,hat_t1_v2,hat_t1_v4,shoes_t1_v1,shoes_t1_v2,shoes_t1_v3,accA_t1_v1,accA_t1_v2,accB_t1_v1,accB_t1_v8,accB_t1_v9,weapon_t2_v4,weapon_t2_v5,weapon_t2_v7,weapon_t2_v8,weapon_t2_v9,shield_t2_v3,shield_t2_v5,shield_t2_v7,shield_t2_v8,armorTop_t2_v3,armorTop_t2_v4,armorTop_t2_v7,armorTop_t2_v8,armorBottom_t2_v4,armorBottom_t2_v5,armorBottom_t2_v6,hands_t2_v2,hands_t2_v4,hands_t2_v9,hat_t2_v4,hat_t2_v9,shoes_t2_v2,shoes_t2_v3,shoes_t2_v7,shoes_t2_v8,accA_t2_v2,accA_t2_v8,accB_t2_v1,accB_t2_v5,accB_t2_v7,accB_t2_v8,accB_t2_v9,weapon_t3_v2,weapon_t3_v4,weapon_t3_v5,weapon_t3_v7,weapon_t3_v8,weapon_t3_v9,shield_t3_v2,shield_t3_v3,shield_t3_v5,shield_t3_v7,shield_t3_v8,shield_t3_v9,armorTop_t3_v3,armorTop_t3_v4,armorTop_t3_v7,armorBottom_t3_v5,armorBottom_t3_v8,armorBottom_t3_v9,hands_t3_v4,hands_t3_v8,hands_t3_v9,hat_t3_v4,hat_t3_v7,hat_t3_v9,shoes_t3_v2,shoes_t3_v7,shoes_t3_v8,accA_t3_v2,accA_t3_v4,accA_t3_v8,accB_t3_v3,accB_t3_v4,accB_t3_v5,accB_t3_v7,accB_t3_v8,accB_t3_v9,weapon_t4_v2,weapon_t4_v4,weapon_t4_v5,weapon_t4_v7,weapon_t4_v8,weapon_t4_v9,shield_t4_v2,shield_t4_v3,shield_t4_v4,shield_t4_v5,shield_t4_v7,shield_t4_v8,shield_t4_v9,armorTop_t4_v3,armorTop_t4_v4,armorTop_t4_v7,armorTop_t4_v8,armorBottom_t4_v5,armorBottom_t4_v7,armorBottom_t4_v8,armorBottom_t4_v9,hands_t4_v4,hands_t4_v8,hands_t4_v9,hat_t4_v4,hat_t4_v7,hat_t4_v8,hat_t4_v9,shoes_t4_v2,shoes_t4_v4,shoes_t4_v7,shoes_t4_v8,accA_t4_v2,accA_t4_v4,accA_t4_v8,accB_t4_v3,accB_t4_v4,accB_t4_v5,accB_t4_v7,accB_t4_v8,accB_t4_v9,weapon_t5_v2,weapon_t5_v4,weapon_t5_v5,weapon_t5_v7,weapon_t5_v8,weapon_t5_v9,shield_t5_v2,shield_t5_v3,shield_t5_v4,shield_t5_v5,shield_t5_v7,shield_t5_v8,shield_t5_v9,armorTop_t5_v3,armorTop_t5_v4,armorTop_t5_v7,armorTop_t5_v8,armorBottom_t5_v5,armorBottom_t5_v7,armorBottom_t5_v8,armorBottom_t5_v9,hands_t5_v4,hands_t5_v7,hands_t5_v8,hands_t5_v9,hat_t5_v4,hat_t5_v7,hat_t5_v8,hat_t5_v9,shoes_t5_v2,shoes_t5_v4,shoes_t5_v7,shoes_t5_v8,shoes_t5_v9,accA_t5_v2,accA_t5_v4,accA_t5_v8,accB_t5_v3,accB_t5_v4,accB_t5_v5,accB_t5_v7,accB_t5_v8,accB_t5_v9,weapon_t6_v2,weapon_t6_v3,weapon_t6_v4,weapon_t6_v5,weapon_t6_v7,weapon_t6_v8,weapon_t6_v9,shield_t6_v2,shield_t6_v3,shield_t6_v4,shield_t6_v5,shield_t6_v7,shield_t6_v8,shield_t6_v9,armorTop_t6_v2,armorTop_t6_v3,armorTop_t6_v4,armorTop_t6_v5,armorTop_t6_v7,armorTop_t6_v8,armorBottom_t6_v2,armorBottom_t6_v4,armorBottom_t6_v5,armorBottom_t6_v6,armorBottom_t6_v7,armorBottom_t6_v8,armorBottom_t6_v9,hands_t6_v2,hands_t6_v4,hands_t6_v5,hands_t6_v7,hands_t6_v8,hands_t6_v9,hat_t6_v2,hat_t6_v4,hat_t6_v7,hat_t6_v8,hat_t6_v9,shoes_t6_v2,shoes_t6_v4,shoes_t6_v7,shoes_t6_v8,shoes_t6_v9,accA_t6_v2,accA_t6_v4,accA_t6_v6,accA_t6_v7,accA_t6_v8,accB_t6_v3,accB_t6_v4,accB_t6_v5,accB_t6_v7,accB_t6_v8,accB_t6_v9
新装備(c) 毎周回全カテゴリ作成: 101/143周回
